name,url
Abuja Airplane House,https://i.imgur.com/CJFHc1N.png
Acropolis,https://i.imgur.com/PCuyS8c.png
Admont Abbey Library,https://upload.wikimedia.org/wikipedia/commons/f/f2/Austria_-_Admont_Abbey_Library_-_1335.jpg
Al-Masjid an-Nabawi,https://i.imgur.com/InK74dv.jpeg
Albuquerque Balloon Festival,https://i.imgur.com/pgoXCdy.jpeg
Aldabra Atoll,https://www.1843magazine.com/sites/default/files/styles/il_manual_crop_16_9/public/0312ILPL01-web.jpg
Ali Barbour's Cave Restaurant,https://media-cdn.tripadvisor.com/media/photo-s/15/a1/41/e5/dine-under-an-open-sky.jpg
Amalfi Coast,https://a.cdn-hotels.com/gdcs/production22/d554/0eef04a7-c6d5-4d50-bce9-c8fa27187158.jpg?impolicy=fcrop&w=800&h=533&q=medium
Angkor Wat,https://upload.wikimedia.org/wikipedia/commons/d/d4/20171126_Angkor_Wat_4712_DxO.jpg
Antelope Canyon,https://www.visitarizona.com/imager/s3_us-west-1_amazonaws_com/aot-2020/images/AntelopeCanyon_ResizedHeader_b2b0b89039603b931027eb2900b66531.jpg
Arc de Triomphe,https://upload.wikimedia.org/wikipedia/commons/7/79/Arc_de_Triomphe%2C_Paris_21_October_2010.jpg
Atacama Desert,https://i.natgeofe.com/n/4c363dfb-f2c7-4a89-9547-a06318a87fc5/valley-moon-atacama-desert-chile_4x3.jpg
Atitlan,https://i.imgur.com/tzGZaz6.jpeg
Avenue of the Baobabs,https://upload.wikimedia.org/wikipedia/commons/3/38/Adansonia_grandidieri_Pat_Hooper.jpg
Bali,https://i.imgur.com/JP35UnU.jpeg
Ban Gioc-Detian Falls,https://www.worldatlas.com/upload/50/98/3b/shutterstock-1585322011.jpg
Band-e-Amir National Park,https://upload.wikimedia.org/wikipedia/commons/a/aa/Afghanistan%27s_Grand_Canyon.jpg
Banff National Park,https://i.imgur.com/VmsHLab.jpeg
Basilique Notre-Dame d’Afrique,https://upload.wikimedia.org/wikipedia/commons/6/6f/Notre_Dame_d%27Afrique.jpg
Battle of the Oranges,https://i.imgur.com/OqYxVJD.jpeg
Bay to Breakers,https://i.imgur.com/oez5Si0.jpeg
Beethoven Museum,https://www.wienmuseum.at/items/uploads/images/1684242437_qWgAsMyOCzzW.jpg
City of Dougga,https://c8.alamy.com/comp/2P19HH1/ruins-of-dougga-or-thugga-or-tbgg-archaeological-site-of-berber-punic-and-roman-settlement-in-tunisia-unesco-world-heritage-site-2P19HH1.jpg
Berlin Wall,https://cdn.britannica.com/51/92851-050-1219D91B/People-East-wall-gathering-West-Berlin-Wall-November-10-1989.jpg
Big Sur,https://i.imgur.com/INHRc08.png
Black Forest,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Blick_vom_Hohfelsen.jpg/240px-Blick_vom_Hohfelsen.jpg
Blue Cave,https://www.zentravelcroatia.com/wp-content/uploads/2020/04/inside-the-blue-cave-croatia.jpg
Blue Grotto,https://cdn.images.ondaplatform.com/portals_articles/445/cover/P1140750.jpg?crop=smart&mt=1674552863&width=600&height=335&density=2
Blue Lagoon,https://images.ctfassets.net/w65k7w0nsb8q/4egTHqIvc6A9cNgAILlcyK/ef94101278f85c96a659e6bd7899729e/Bluelagoon-meta.jpg
Blue Nile Falls,https://upload.wikimedia.org/wikipedia/commons/2/27/Blue_Nile_Falls-03%2C_by_CT_Snow.jpg
Bom Bom Island,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/94/1c/de/bom-bom-principe-island.jpg?w=700&h=-1&s=1
